Company;Position;Rate;ApplicationDate;Status;StausDate;Note;Link
BrothersTech; Dotnet Developer; ; 3/4/26; Rejected; 3/4/2026;; https://www.linkedin.com/jobs/view/4378930994/
State Street; Software Engineer II, Off; 70-119k; 3/4/26;Open; 3/4/26;; https://jobright.ai/jobs/info/699d426381476f6176b60f8e?utm_source=1121&imp_id=3673496432511879909__instant_push__1772640050170_692&utm_medium=email
American Specialty Health; Software Engineer II; 79-119k; 3/4/26;Open; 3/4/26;; https://www.glassdoor.com/job-listing/software-engineer-ii-american-specialty-health-JV_KO0,20_KE21,46.htm?jl=1010051618166&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos1-age1d-1010051618166&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jisn5nidiucn800-b94794a11cbf169d&cs=1_853aff6b&s=224&t=JA&pos=101&ja=378462087&guid=0000019cb95dd56d824e34d16168ddf4&jobListingId=1010051618166&vt=e&cb=1772637839288&ctt=1772644671002&srs=EMAIL_JOB_ALERT&gdir=1
JPPA - Jackson and Perkins; Software Developer; 80-150k; 3/4/26;Open; 3/4/26;; https://www.glassdoor.com/job-listing/software-developer-jppa-jackson-and-perkins-JV_KO0,18_KE19,43.htm?jl=1010050377626&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos9-age2d-1010050377626&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jisn5nidiucn800-0a6d9a0f057234e7&cs=1_7f0ba5b8&s=224&t=JA&pos=109&ja=378462087&guid=0000019cb95dd56d824e34d16168ddf4&jobListingId=1010050377626&ea=1&vt=e&cb=1772637839290&ctt=1772644716655&srs=EMAIL_JOB_ALERT&gdir=1
Capgemini Engineering; Senior Dotnet Developer; 135-145k; 3/4/26;Open; 3/4/26;; https://www.linkedin.com/jobs/view/4379453883/
Versaterm; Software Engineer II; ; 3/4/26; Rejected; 4/4/2026;; https://jobright.ai/jobs/info/69a868d72580d3183f007fdb?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1772645099451_1919&utm_medium=email
Mesa Associates; Senior Backend Developer; 69-120k; 3/4/26; Rejected; 4/4/2026;; http://glassdoor.com/Job/index.htm?utm_source=jobsForYou&utm_medium=email&utm_term=jfytspvar2&utm_content=jobs-for-you-jobsForYou-jobpos2-age30d-1010008870510&utm_campaign=jobsForYou&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-1-1jiscq11ij0r6800-f191b0dc85910e13&cs=1_aab0a777&s=362&t=REC_JOBS&pos=102&guid=0000019cb14958a085ec6185c232c9ef&jobListingId=1010008870510&ea=1&rdforyou=true&vt=e&cb=1772626970394&gdir=1
Motion Recruitment; .NET Developer/Microservices/Knoxville, TN; ; 3/4/26;Open; 3/4/26;; https://www.ziprecruiter.com/co/Motion-Recruitment/Jobs/-in-Knoxville,TN?uuid=KOwJGkdRvDNlur9AMC4w3HjpV%2B8%3D&radius=50&lk=vC74g-l3H-OM_ZseNQEN4w
Collasys LLC; .NET Vue.js Developer; DOE; 3/4/26;Open; 3/4/26;; https://www.dice.com/job-detail/b17aff44-53fe-4c19-a673-1df7e2338a88
TechHuman; Full-Stack .NET Developer; ; 3/4/26;Open; 3/4/26;; https://www.dice.com/job-detail/c9c6c500-10c9-48f3-ac66-d1c6fa69b2fe
