Company;Position;Rate;ApplicationDate;Status;StausDate;Note;Link;;;
Ingenuity, Inc; .NET Programmer (Pelham AL); ; 4/8/26;Open; 4/8/26;; https://www.ziprecruiter.com/jobs/a/b?lk=8LxVMncwBuPUg8bBBHftLg&tsid=111000153;;;
Info Origin Inc; .Net Developer; 55-56/hr; 4/8/26;Open; 4/8/26;; https://www.ziprecruiter.com/jobs/a/b?lk=0LGCMku8QiDUb5gRabTfvg&tsid=111000153;;;
Mindlance; .Net Developer II (Job #26-09949); 46-77/hr; 4/8/26;Open; 4/8/26;; https://jobright.ai/jobs/info/69d5261d706f771673ba0cef?utm_source=1132&utm_id=69d5261d706f771673ba0cef&tob=true&banner=false&utm_medium=feed;;;
Syms Strategic Group, LLC (SSG); Senior .NET Developer (Onsite - Orlando); 51-65/hr; 4/8/26;Open; 4/8/26;" Apply process states ""100% U.S. based remote position"""; https://www.ziprecruiter.com/jobs/a/b?lk=j-m4xwXVwyUSLs07atQvsQ&tsid=111000153;;;
Citi; .NET Developer - Applications Development (Jacksonville FL); 97-145k; 4/8/26;Open; 4/8/26;; https://www.glassdoor.com/job-listing/net-developer-applications-development-citi-JV_IC1154093_KO0,38_KE39,43.htm?jl=1010086632452&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos3-age6d-1010086632452&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1110586&jrtk=5-yul1-0-1jlkhgjbnh74j800-1f45b36a62e2af77---6NYlbfkN0B7UYL49yWBrrOlEWIsfJu1HwdoffaEv3MPqVgUrdyA2qxVh7raSAZXW7OKfZem_yQlO6bzle5MGA0N_jG3pE2_5yi36A4crR7ptLmQ5JIee7pXD6tuv4lxwd1FVz-P6IvJdzG0yi2LQOWT4skK5RO5a6xTJ0md1Wg4ynDR2taZKNo7QlQksiHuSIGU7dEd5Z3FrnV-6gSeJe_FmYHBFxl4obqH7sVz2MNNTvTOqNg0w-H1Fapm_vdm-Wb4Wl5IZuHGFqbcv5_U3ID7eaDcteYbW6UwkiMN0o95REWYEhoJmZh9ScWMV4CW48mXH1aEY64s5VKi6KsTl2A3MD7E95JXG7SJy7-l4OlBm1E_AwLWpg39zv-AflXMuD1lMVVgZGTFKdgRCNAaGXaEHfSqoujXTWkMW_fa3Q78Ns3LPdhDMF-wAKhv3cSS8T4QbWeVmwWWzaspZI_0RbU5GCwT6nnUQayFVyjyoMVwgBXfoDw3KDIwuFxL6mPN9EdbO2VSK3ZaYlaGaODWMgsR8IrsUZSY0oQpW1e50cuUPUwleKFUD_1q2mybeZ0hdsEzXQ3LpqJdbMkdfgDJTiHx1YqDfWcSOI30Nc3JTwGn-F_uP2ezXx6CAMBF058iDseGcO4bCvN04ejiYbfUJ9iXYmqBMEK9ZH1R0i6eXZGQ9EACJwnYM9CsQxQdWKCu_IyECKtkKps-Q6QlhXlPJHglzg-EJ7p_Xv55iGjfvzw1OiJ5o9xgiLAuqr5BlPATcHBfThywPpPQ7QcA5mCXSWFjtbpiUxYqNULSchyQP4YUiwRrLNjCTf_5VIVdjyoGiIkSQQHR1XQc6HlVoNdWmdFXA1AXcoiAXFWXF7AwuflJUMnMBMkDhCjgN9QyNocqkhAk6G0uze4abwO0M4maD3qfSFpQMmkcG2J6WxBOmpKFHxDWSeqkOM47CvX0hsNEjyl3EuQkt7I%3D&cs=1_96aae7c2&s=224&t=JA&pos=103&cpc=1CBFC3E34E2A31FF&ja=401273461&guid=0000019d68bfff89ae28a5a2159d9512&jobListingId=1010086632452&vt=e&cb=1775584693988&ctt=1775670740843&srs=EMAIL_JOB_ALERT&gdir=1;;;
OpenLoop; Senior Software Engineer; ; 4/8/26;Open; 4/8/26;; https://www.linkedin.com/jobs/view/4375797331/?trackingId=QbllVB32IpRLmVHKzkhnPw%3D%3D&refId=LZuDMonL28RG4BbgWzPQyQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=2V5eqhHDSeAYc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_4_jobid_4375797331_ssid_15257593108_fmid_mw6pip~mnqccxwg~j8&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_4_jobid_4375797331_ssid_15257593108_fmid_mw6pip~mnqccxwg~j8-null-mw6pip~mnqccxwg~j8-null-null&eid=mw6pip-mnqccxwg-j8&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjI4OGNlZDY0MTljYWI4ZjZkN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkM2RmZGQwZTg3ZWJhMjY5ZjFkY2ZmMjFhYjgwM2E2YzA4Yzc0NDg0Y2ZiNjA5MmQsMSwx;;;
McGraw Hill; Sr Software Engineer; ; 4/8/26; Rejected; 5/8/2026;; https://www.linkedin.com/jobs/view/4384087860/?trackingId=b10fK0leJKhMb5bZxhzgpA%3D%3D&refId=LZuDMonL28RG4BbgWzPQyQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=2V5eqhHDSeAYc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4384087860_ssid_15257593108_fmid_mw6pip~mnqccxwg~j8&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4384087860_ssid_15257593108_fmid_mw6pip~mnqccxwg~j8-null-mw6pip~mnqccxwg~j8-null-null&eid=mw6pip-mnqccxwg-j8&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjI4OGNlZDY0MTljYWI4ZjZkN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkM2RmZGQwZTg3ZWJhMjY5ZjFkY2ZmMjFhYjgwM2E2YzA4Yzc0NDg0Y2ZiNjA5MmQsMSwx;;;
DataAnnotation; Application Developer; ; 4/8/26;Open; 4/8/26;; chrome-extension://chphlpgkkbolifaimnlloiipkdnihall/onetab.html;;;
Cadence; Software Engineer; 135-165; 4/8/26; Rejected; 5/8/2026;; https://www.linkedin.com/jobs/view/4397791889/?trackingId=Pnri3iBUC0a7%2Bzl%2BybQOxw%3D%3D&refId=UAorTMewem3WQfen%2Fckq%2Fw%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=3JCsdBNJZAzIc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4397791889_ssid_15257593100_fmid_mw6pip~mnp17edg~e4&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4397791889_ssid_15257593100_fmid_mw6pip~mnp17edg~e4-null-mw6pip~mnp17edg~e4-null-null&eid=mw6pip-mnp17edg-e4&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjE4NmNmZDI0ODliYWI4YjYzN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkMGZlYzY1YmZlZjc4MTYxOGJmZTY3ZTM3N2RiNTQ5MDEyZGM1ZTExMjI0ZDU2NTAsMSwx;;;
Cotiviti; Senior Software Engineer RCA R&D - Legacy Applications; ; 4/8/26;Open; 4/8/26;; https://jobright.ai/jobs/info/69d495c054f00230c6d32d98?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1775592134621_9850&utm_medium=email;;;
AdvanceNet Health Solutions, Inc; .NET Engineer; ; 4/8/26;Open; 4/8/26;; https://jobright.ai/jobs/info/69d528cecfdc6132f946016b?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1775592134621_9850&utm_medium=email;;;
Changeis; Senior .NET Software Engineer (ASP.NET Core/C#/AWS); ;4/8/26;Open;4/8/26;; https://www.indeed.com/viewjob?jk=e4408e238c9485f6&tk=1jlkt2pqpg2us84r&from=serp&vjs=3;;;
Emory Healthcare; Full Stack Developer III; 52-65/hr; 4/8/26;Open; 4/8/26;; https://www.indeed.com/viewjob?jk=b284e668faea1bdb&tk=1jlksn4a5g5jb830&from=serp&vjs=3;;;
Calibre Systems, Inc; Senior Web Developer / Engineer; ; 4/8/26;Open; 4/8/26;; https://www.indeed.com/viewjob?jk=bc54f94cb73d6d72&tk=1jlksn4a5g5jb830&from=serp&vjs=3;;;
AAA Northeast; Dynamics CRM Technical Architect; 147-180k; 4/8/26;Open; 4/8/26;; https://www.indeed.com/viewjob?jk=99e0e85027858b1d&tk=1jlksn4a5g5jb830&from=serp&vjs=3;;;
SAIC; Senior Systems Engineer; 160-200k; 4/8/26;Open; 4/8/26;; https://www.dice.com/job-detail/735a837a-a0be-46fb-9790-61c0bd696ea7;;;
Vibefoundry.ai; Software Engineer; ;4/8/26;Open;4/8/26;; https://www.linkedin.com/jobs/view/4397314273/?trackingId=kQatJhujRJqV0uy9FPQlrA%3D%3D&refId=wa1XsPg0RM%2BCwCfBcjgZlw%3D%3D&eBP=BUDGET_EXHAUSTED_JOB&midToken=AQE_3XQkBAKpjA&midSig=0DrrZgg_jszIc1&trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4397314273&trkEmail=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4397314273-null-mw6pip~mnp5hq57~k3-null-null&eid=mw6pip-mnp5hq57-k3&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjE4NmM2ZDQ0ODk5YTg4YzY5N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThjYmQzZDQ0ZmE3ZDA4YTZiZjcwZmQ0NzZhM2U5NmE4YzdmYWJjYTI1NjFlYjY3MjIsMSwx;;;
