Company;Position;Rate;ApplicationDate;Status;StatusDate;Comment;Link
Skillable; Senior Backend Engineer - SQL and C#; 130-150k; 2/9/26;Open; 2/9/26;; https://www.glassdoor.com/job-listing/senior-backend-engineer-sql-and-c-skillable-JV_KO0,33_KE34,43.htm?jl=1010015744665&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos6-age10d-1010015744665&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jh262ohuljdk800-70b80405077b6333&cs=1_6b2cb567&s=224&t=JA&pos=106&ja=380629936&guid=0000019c43fef5de8b51cbbda3de6309&jobListingId=1010015744665&vt=e&cb=1770673759237&ctt=1770673866919&srs=EMAIL_JOB_ALERT&gdir=1
Fanatics; Staff Software Engineer; 144-282k; 2/9/26;Open; 2/9/26;;  https://www.linkedin.com/jobs/view/4307261676/?trackingId=S2Ul3tFSY2dFoQ9Bs%2BSLyw%3D%3D&refId=ZSuvouAjUh4wvz7o28QBTw%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=0KFHhmN4Bvjc81&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_14583149764&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_14583149764-null-mw6pip~mlf88wcg~cx-null-null&eid=mw6pip-mlf88wcg-cx&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU3YjI4YmNiZDA0Nzk5YTk4ZjYyN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlZGUzZjA0NTlkZjNiYjBmNjE4OWM0NTQwZTAxODIyNWI1YWNlYjJkMTQ2ZDlhZGQsMSwx
Zillion Technologies; Lead C# .NET Developer; ; 2/9/26;Open; 2/9/26;;https://www.dice.com/job-detail/ce563e4b-b5b5-40a4-ad36-7c05265cae3f?filters.postedDate=ONE&filters.workplaceTypes=Remote&q=.net
Stand 8 Technology Consulting; Mid-Level .NET Software Engineer; 95-120k; 2/10/26;Open; 2/10/26;; https://www.linkedin.com/jobs/view/4365087357/?trackingId=1%2BGpBkmcRRC%2FdQxdoQ%2FoSA%3D%3D&refId=8nqKyG%2FRRdylhyFBNFQ93Q%3D%3D&eBP=CwEAAAGcP_TTMUm-3mETHkCbsBiQaYZSoQ-cp0-5jdt3e8_LE2ttS-bRS_jkSNa-v9S-0spUz88mhNm2anM7QxAu_qk7znIQ-dXDopFvFUnxYqtW_aKlD_-BwXwrpCYurRbXhq84bLOGr899Gk88-O80_HltcMN8G6ZQ4KHnRJaupn9aL19bpSE2Z6oHaULSLDCJIUSikY9asZUCONu-GVgx0cDU1Rz0DWEEbvzcgxUc9Y1z0GfloYkcqvDbkQIFDitqQKbi_C-AJamH_cNNKuMfRKIg63o2Gb1Cl3EweQqX7g-lNC7tXnZZ6iU2KE_F3ebfa1CwMjOsbTqk2KhiwTbzit3dS69-DnqWnQXA8o8S-SLFLiGSKLXhpF6SQzCgQub8Anf9TeBbvT-km1VA2dK4FKC1P_eu6MLsK4OMZhz51nwc2r2lpS6-o-cWMt21gi6m1ZIF9R5Yee3N6gEcgNA&midToken=AQE_3XQkBAKpjA&midSig=3ePreRJu6QjI81&trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4365087357&trkEmail=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4365087357-null-mw6pip~mlftohv2~99-null-null&eid=mw6pip-mlftohv2-99&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU3YjI4N2NlZDk0Mzk5YTg4ZjY5N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlM2U0ZjY2NDgxZTk4MjBlM2NlZjgzYjc2Nzc4ZWZkNmUyODhjODc1YTJkYzk0OTksMSwx
Odyssey Information Services; Software Engineer (C#); +145k;2/10/26;Open;2/10/26;; https://www.linkedin.com/jobs/view/4321361169/?trackingId=Q79RrQHOSf%2BorvQvc3TGGg%3D%3D&refId=aQxuvR0sSaGwqnCZALv9mQ%3D%3D&eBP=CwEAAAGcP_TTMYi-ILlevqsjZURvV1tjqJBKO2xfrI11vJLcs2MFJuTCYQ8n2djHVypPaAa7Yz92iM2mbBXZaeN-oIUfWtpF-e9ZPg1ZBKiz_Zn9AnZ5TPTw8V5F3nbLrbzLwPjpYZMMBWon1lvDPabhGOojNTOlkD4b7PA55bKMWJ1Bg3BoAjUHQxgguaMhQbf3-juxMP2dA3JJTZRcDbERCAOq829tLGFOADcEDq4TelIk5LCzi5gblNUWdEkI_X0KaIib_ruklA8Ro8u6b2Rf6P_-Zqke1HEtRVcdQIcn45sOIHBs6yBm1mchRgDUqt37NYr5bVlODwHTZqPDYEmKrlXDpec6xQyTds8wBCMaNn0gX_4ZBnOt2ZkFGj6cZd5TApct5Rym_dOtZQZBYoyrWelub498KO8QVg9cvO8lhqf_XRrowdh8k30kMDawfIcXd1Kf7xZQq2PN-fNU3bM&midToken=AQE_3XQkBAKpjA&midSig=3ePreRJu6QjI81&trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4321361169&trkEmail=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4321361169-null-mw6pip~mlftohv2~99-null-null&eid=mw6pip-mlftohv2-99&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU3YjI4N2NlZDk0Mzk5YTg4ZjY5N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlM2U0ZjY2NDgxZTk4MjBlM2NlZjgzYjc2Nzc4ZWZkNmUyODhjODc1YTJkYzk0OTksMSwx
7Seventy Recruiting (Reveler?); Software Engineer; 67.30-81.70/hr; 2/10/26;Open; 2/10/26;; https://www.linkedin.com/jobs/view/4361788661/?trackingId=25ZK5IrT6hWGWXGew45I%2Bg%3D%3D&refId=gmTHcLJ18ecp7LloEyrTAw%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=3T6zNCfi9QkI81&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_14583149764&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_14583149764-null-mw6pip~mlgrz240~3c-null-null&eid=mw6pip-mlgrz240-3c&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU3YjM4Y2M2ZDU0MjlhYWM4NzZhN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThmN2VkODU0MTk4ZGU4NjM5Zjc1NDAxYzUwMjVkZDYzZjNmZTFjYmMxNGE4ZWVkYmQsMSwx
Centurion; Azure API Developer; 110-120k; 2/11/26;Open; 2/11/26;; https://www.linkedin.com/jobs/view/4371046177/
Keena Healthcare Technology; Senior Software Engineer; 111-142k; 2/11/26;Open; 2/11/26;; https://www.linkedin.com/jobs/view/4371013220/
NTT Data, Plano TX; Senior .NET Application Modernization Engineer; 46-65/hr; 2/11/26;Open; 2/11/26;; https://www.indeed.com/viewjob?jk=6d5e338e09475820
Spechify; Senior Software Engineer, Windows/Desktop Applications Miami, USA; 140-200k; 2/11/26;Open; 2/11/26;; https://boards.greenhouse.io/embed/job_app?token=5726747004&utm_source=jobright
PrecisionCare Software; Software Developer;  ; 2/11/26; Rejected; 3/11/26;; https://www.linkedin.com/jobs/view/4371141374/
Mastek; Pass .Net 8 Developer;  ; 2/11/26;Open; 2/11/26;; https://www.linkedin.com/jobs/view/4363037494/
Refulgent Technologies Inc.; Senior Application Software Developer; ; 2/11/26;Open; 2/11/26;; https://www.dice.com/job-detail/876cd54e-068c-4caf-a9d6-07f709a98922?utm_source=iterable&utm_medium=email&utm_campaign=6582207&utm_content=apply_nowhiring&%243p=e_iterable&_branch_match_id=1534279828681668966&_branch_referrer=H4sIAAAAAAAAAzWP3WqEMBCFnyZ75w%2BJG7UgpeyyrxFiMmra%2FDFGQm%2F67I3Cwlyc8w1zDrOlFPePptFGQS1jrK3xPw2Ln4R2LE4gTAKUs4VbAQHNary04kA7beclYV%2BEvsrknOsrQwVX7HeYKw1JGlvM0HOl7x1ULR9U1Sm5VHLUvGr7pW9HOQ4jpYS9juTEHg5UQNjzXUsoP7kDbQ5XOLgr84JKuijN6gvm94HStn8vgk%2FgU%2BHlI%2FsrfMibQePX2x%2FCAnhKMWPIO%2BD02DA4%2BAdxbP%2FSCAEAAA%3D%3D
Dunhill Professional Search & Government Solutions; .NET Developer; 100-133k; 2/11/26;Open; 2/11/26;; https://www.linkedin.com/jobs/view/4371043435/
LingaTech; Dotnet Developer; ; 2/11/26;Open; 2/11/26;; https://jobright.ai/jobs/info/698bed6d06d9b06224962131?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1770834848315_3720&utm_medium=email
Bright Vision Technologies; Dot Net Developer; ; 2/11/26; Rejected; 3/11/26;Insists on being willing to relocate, but listed as remote!!  Also, position is only for H1B; https://jobright.ai/jobs/info/698c0ac90f6f7e7a2ce79b4a?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1770834848315_3720&utm_medium=email
Acumenz Consulting; Fulltime Position for .NET Software Engineer with 8-10 years Exp in Healthcare Domain; ; 2/11/26;Open; 2/11/26;; https://www.linkedin.com/jobs/view/4371427733/
