Company; Position; Rate; ApplicationDate; Link; Status; StatusDate
The Wendy's Company; Sr Engineer - Software; 93-158k; 1/20/26; https://www.linkedin.com/jobs/view/4309140639/?trackingId=LXMWAJHO%2FhjlBZ2ME1oiUQ%3D%3D&refId=Ow3fUU3xGkaVmBHG19b9fQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=2Feb13zzWYTs41&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_14583149772&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_14583149772-null-mw6pip~mkn4l4ec~na-null-null&eid=mw6pip-mkn4l4ec-na&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOGVmYmQ4YmNiZDY0OTlhYWQ4YTZjN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThiOWZkYzg1N2ExY2VjMDM0MWJkZWY4NWMyODg2M2RmM2M5ODlkMDFlNTM2M2U0OWQsMSwx; Rejection; 1/22/26
Globe Life; Sr. .NET Developer; ; 1/20/26; https://globelife.wd5.myworkdayjobs.com/Globe-Life-Careers/job/Remote-TX/Sr-NET-Developer_JR100267
Growe; Senior .NET Engineer; ; 1/20/26; https://jobright.ai/jobs/info/696fbc353ed06875134ab034?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1768932120102_1079&utm_medium=email; Rejection; 1/22/26
Ark Infotech LLC; System Software Programmer; ; 1/20/26; https://jobright.ai/jobs/info/696f9bbb3ed06875134a87c1?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1768932120102_1079&utm_medium=email
Akkodis; SW Development Engineer - Remote; 50-90/hr; 1/20/26; https://www.linkedin.com/jobs/view/4328712184/
Delinea; Senior C# Software Engineer; ; 1/20/26; https://jobright.ai/jobs/info/696fe4f182817106e976e9ef?utm_source=1121&imp_id=3673496432511879909__instant_push__1768942463548_6146&utm_medium=email
United Global Technologies (UGT); .NET programmer Water Quality and Safety exp required; ; 1/22/26
Talentarchitect.com; Senior Software Engineer in C#; ; 1/22/26; https://www.indeed.com/viewjob?jk=3ecd5adaaae4d1af&tk=1jfjtubq4gha5802&from=serp&vjs=3
Amwins; Senior Software Developer; ; 1/22/26; https://www.indeed.com/viewjob?jk=9ce45130115be1f6&tk=1jfjtqokiglir84o&from=serp&vjs=3
Glansa Associates; .Net Engineer; ; 1/22/26;
Capgemini (Alanta - Remote); C# Developer; 62-131k; 1/22/26;  https://www.indeed.com/viewjob?jk=7d69a78564332aa6&tk=1jfjtqokiglir84o&from=serp&vjs=3
