Company; Position; Rate; ApplicationDate; Link; Status; StatusDate; Comment
Actalent (Daniel Bassindale) (Locknet); Software Engineer; 63/hr; 1/14/26; ; ; ; Contract to Hire; Phone Interview 1/15; Completed Predictive Assessment 1/16
RedSail Technologies; Software Development Engineer III;;1/14/26;https://jobright.ai/jobs/info/6966f56e6f782b4e8d529d94?utm_source=1121&imp_id=3673496432511879909__instant_push__1768356353868_3686&utm_medium=email ; ;
Ancestry; Senior Software Engineer;112-140k;1/14/26; https://www.glassdoor.com/job-listing/senior-software-engineer-ancestry-JV_KO0,24_KE25,33.htm?jl=1009996445919&utm_source=jobactivity&utm_medium=email&utm_term=jobactcommodcon&utm_content=jas-jyml-jobpos4-agept-1009996445919&utm_campaign=jas&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jetkusp9gqrs80c-1f6d07017581ba5e&cs=1_32d1bcd0&s=335&t=JA&pos=104&guid=0000019bbb4f72dd98951b881d472e03&jobListingId=1009996445919&vt=e&cb=1768374105209&ctt=1768425308415&gdir=1; ;
Availity, LLC; Software Engineer III;;1/14/26; https://www.glassdoor.com/job-listing/software-engineer-iii-availity-JV_KO0,21_KE22,30.htm?jl=1009996262803&utm_source=jobactivity&utm_medium=email&utm_term=jobactcommodcon&utm_content=jas-jyml-jobpos2-agept-1009996262803&utm_campaign=jas&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jetkusp9gqrs80c-404bcb09f5f82326&cs=1_c190a521&s=335&t=JA&pos=102&guid=0000019bbb4f72dd98951b881d472e03&jobListingId=1009996262803&vt=e&cb=1768374105209&ctt=1768425299251&gdir=1; Rejection; 1/15/26
Seneca Resources; Senior Software Engineer;65/hr;1/14/26; https://www.indeed.com/viewjob?jk=264931af16b87b3c&tk=1jets82r1ka55801&from=jobi2a&advn=1302227004764138&adid=455570002&ad=-6NYlbfkN0AiRrwN5v2nTfGVepNxwyITavucPrGSxB-o-J0jBnubG6jZ3KaMOiP_QeollnswWOfhKA-SMoJuW_9plvw4qAO22pCBnInToU1LcTYtU_WRgc92aMlOlFcXFBV300DgcAAdwZ5mlhVCzetCBarmLkiK-6epcnstVBAa60KyextgVnKxyx1zGB-JtKUimtUyPiN3BGtzq9DNF1jntA-qpbbjXclX832e6jbjKQw3wH5UDJmX4TKanUoQFibNYvMgcsesxbk4o8IQzNRacJfJX3_5tK83EUdDiLO64EM0f9dGbKn9p8ti33qIeSh_E30g8c74fD8wabnytw_QVflsFTXRxwfFjuOmcKK3y5Xz14-bH2xgT-1HvytxPIFfCJ-2d9L2nKWLJkTV8qbMLlZUaNSjHOPFZJQM7utVz_U9D7cd9PTMzXu-Wh2XPB5fp2JwzBUTYhmw2zPIyM566GKRIMy-DC7tUyT9Y-6yDsYxVoIEwsw0avgyErYKQa2FBz5pytMAOCgL7XOivx_4XY5rNc1ookJUsnYkBelTGFRlk8QNkdroj8vMHSpJU2SljeOwpekVwIr9_JBokhuWqOJoBwZET-Jj87fp6ER90AO_Xea0-w%3D%3D&sjdu=0gUdaqpQPIJgdR8Z1aO8nAF1ue_5SgTPHJMc0jyWi6wWX6RUF9_XzwIV4h-cMtILMJt4d-MbrwD6jtGcCIoETM6KcWYDxuIr9esNGb7KrHw0Nm_SJd9fWSAsMFSKnXIb&acatk=1jev5ldtagha8802&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=UoKtGZLa3XKtTIGXBUyX6w%3D%3D&jrtk=5-cmh1-1-1jets81n8k14n802-264931af16b87b3c&xkcb=SoA06_M3odwvucbIyJ0PbzkdCdPP&xpse=SoCI6_I3ofDaZgS3Hp0PbzkdCdPP&xfps=23f23ff3-9619-4cc9-b364-a7c26af10d5f; ; ; Completed Online screening 1/16/26
OBRA (Insight Global); Solution Architect;40-51/hr;1/14/26; https://app.obrajobs.com/board/job/79942461-15179_HTN-b03a8072-5707-4655-9bcb-66cb38b08554?applicationId=fb0369e6b47e8ac8492db8da21ba7a26&source=email&flowId=KsqVYISWU9R6iArlOcoS; ;
Sunshine Enterprise USA LLC; IT - DPH - System Software Programmer - Project Lead; 50-60/hr;1/14/26; https://www.monster.com/jobs/search?q=IT+-+DPH+-+System+Software+Programmer+-+Project+Lead&where=Columbia%2C+SC%2C+US&page=1&et=REMOTE&id=33e7b0a7-90a4-4406-b0d5-72b03c7bc1af&sourceName=distribution_alerts_relevancy&sourceValue=dd5b6caa-b78d-40c0-b366-cface5ae2166&mstr_dist=true&sid=email_file_a54e4033-b4be-450b-82a6-03d529b75da4&sts=1768332345266&utm_source=email&utm_medium=email_alerts&utm_campaign=nextalerts_lexemelite&utm_term=usen_MCJOBS_ORGANIC&utm_content=ViewJob_text_body; ;
Wex; Software Development Engineer 4;141-173k; 1/14/26; https://jobright.ai/jobs/info/696738c7639b452fb57ce26a?utm_source=1121&imp_id=3673496432511879909__instant_push__1768405030528_4277&utm_medium=email; ;
Veeam Software; C# Developer M365 Backup;164-273k; 1/14/26; https://jobright.ai/jobs/info/69587dccaa05c26e7ab26567?utm_source=1121&imp_id=3673496432511879909__instant_push__1768405030528_4277&utm_medium=email; Rejection; 1/22/26;Completely bombed assessment 1/17/26
Regal; Senior Software Engineer;;1/14/26; https://www.linkedin.com/jobs/view/4354433850/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_14999231100&refId=J7EzNJnj1%2Bj1tJJu8JBkAQ%3D%3D&trackingId=WEtPI7jpXybX82GM4%2FsTnQ%3D%3D; ;
Leidos; Mid Level Software Developer;87-157k; 1/14/26; https://www.dice.com/job-detail/19ad3736-6e86-4f26-a1ac-edd22a5558a5?utm_source=iterable&utm_medium=email&utm_campaign=6582207&utm_content=apply_nowhiring&%243p=e_iterable&_branch_match_id=1537570213820068771&_branch_referrer=H4sIAAAAAAAAAzWPzWrDMBCEn0a5yW6kSHELpoSUvIZYSxtbrf6QZUQvffbKhsAeZr5lZ9illLR%2B9L2xGjtIqXM2%2FPQ8fRJ24WlEZQtmmByeGojZzjaAU1t247JfEn4j7NGm1todGTr6Zr%2FjRA0WsK6Z8zsYfuWSShwkvTyZpHAGTdEYxkAIMYAg%2FLEVr9a4ZY2Ef71qCZM792js5htHf2QeUINPYOfQsBQDY2%2FX1yKGgqE03j5yvyrEuthsw3z6y%2FjEvEs15VhXzON9ydHjP0XkcwUIAQAA; ;
